8.79,8,2616,1,3004647
9.58,6.82,392,0,3002669
9.4,8.55,1574,1,3001530
9.75,8.93,482,1,3000056
9.32,8.36,10541,1,2982022
7.54,6.24,8614,1,2971475
5.89,6.36,2577,0,2963449
9.29,8.69,94,0,2962897
6,8.63,2529,1,2945137
9.1,8.21,792,0,2938818
9.08,7.62,3487,1,2931897
8.8,7.7,1469,0,2921331
9.15,8.86,1276,1,2897477
10,8.23,48,0,2867594
8.75,8.08,4250,1,2860786
9.15,7.5,2567,1,2841788
8.93,8.61,655,0,2839921
9.61,8.47,430,0,2836774
9.72,8.42,254,0,2818993
9.38,8.09,187,0,2812427
9.44,8.2,423,0,2809053
7.76,9.11,1142,0,2801949
8.98,8.76,80,0,2773794
9.5,8.66,1049,1,2766436
9.38,8.08,1830,0,2744413
9.38,8.94,670,0,2735722
9.17,8.73,2391,1,2731828
9.54,7.32,127,0,2723518
9.04,8.49,1647,1,2721903
9.38,8.03,183,1,2718227
9.55,8.46,546,0,2718158
9.05,7.04,115,1,2713031
8.82,7.65,924,1,2706748
8.98,6.29,147,0,2685508
9.45,9.32,2602,1,2663170
9.48,8.71,222,1,2654817
8.43,8.48,2776,1,2625686
9.4,7.94,632,0,2625572
7.3,6.79,2031,1,2621436
9.77,8.39,2804,0,2611966
9.05,9.33,210,1,2603857
9.65,8.52,511,0,2601734
8.85,6.69,1655,1,2595625
8.32,6.26,7627,1,2594028
8.83,6.68,3156,1,2583294
8.23,7.95,3568,1,2570850
8.84,7.14,5706,1,2564340
8.55,7.65,179,0,2539114
8.78,9.05,140,0,2532306
9.53,8.45,477,0,2532051
9.48,8.58,196,0,2517805
8.92,8.05,4645,1,2512572
9.15,8.57,2777,1,2471721
9.39,8.67,274,1,2447241
9.34,7.9,1576,0,2435211
9.48,7.51,2413,1,2434099
9.31,8.5,4359,0,2420729
9.35,8.01,1645,1,2393086
9.24,7.82,2424,1,2391963
9.08,9.2,29,0,2379830
9.13,7.85,271,0,2376145
5.34,4.13,1434,1,2363955
8.9,8.09,1972,1,2362906
7.23,6.26,1316,1,2325715
8.83,6.26,659,1,2316099
9.38,8.77,1835,0,2315882
9.44,9.14,333,0,2310054
9.59,6.98,867,0,2308596
8.04,5.61,2556,0,2304487
9.72,8.48,251,0,2282744
8.85,8.35,114,0,2282191
8.01,7.85,81,0,2262758
8.97,8.03,306,1,2261356
9.26,7.96,55,1,2258369
8.47,6.88,1053,0,2256913
8.98,7.48,1062,0,2241687
9.24,8,137,0,2239156
7.92,6.09,1773,1,2237271
6.56,3.34,2461,1,2232179
8.87,8.19,289,0,2207751
9.4,7.07,76,0,2201300
9.15,8.88,444,1,2199048
8.45,7.64,3896,1,2192243
9.31,7.13,8261,1,2192172
9.5,7.51,215,0,2182365
9.33,7.84,324,0,2182227
8.97,7.78,684,0,2167426
9.34,6.67,1865,1,2164805
9.74,7.03,1446,1,2160265
8.49,7.75,726,0,2153110
7.25,7.15,2749,0,2142622
9.17,8.02,5586,0,2135614
8.22,8.22,160,0,2128574
8.09,6.45,651,1,2125662
9.39,8.1,4059,1,2108273
9.42,7.4,961,1,2105050
8.8,8.54,1954,1,2095375
9.45,8.59,370,1,2084457
0,9.03,1545,1,2083999
8.71,8.52,1518,1,2080574
9.43,8.41,149,1,2080154
9.02,8.23,124,0,2078492
9.1,9.04,704,0,2070084
8.84,7.89,864,1,2058764
5.65,7.71,5667,1,2053947
8.82,7.72,3801,1,2044564
9.3,6.08,492,1,2026574
8.61,7.79,834,0,2007180
9.24,8.68,60,0,2003533
9.56,7.48,128,0,2002526
9.07,8.64,2448,1,1979311
7.99,7.05,3145,0,1971837
9.45,6.6,173,1,1949027
9.3,8.15,251,0,1936321
8.94,8.24,580,0,1926201
8.96,9.05,259,1,1923748
9.26,8.76,712,0,1922634
6,7.34,834,1,1914779
7.69,7.03,762,0,1898121
9.28,6.66,6658,1,1891993
9.15,8.85,2295,1,1888100
9.19,6.47,104,0,1877226
7.8,7.56,1329,0,1873327
8.62,7.42,1790,1,1865195
9.35,7.87,3434,1,1864408
8.9,7.87,192,0,1860934
8.41,8.55,5334,1,1857392
8.79,7.06,3101,1,1855917
7.48,8.81,3310,1,1854625
8.84,7.81,1228,1,1848418
8.79,8.21,2601,1,1823116
8.33,8.93,1680,0,1820920
9.21,7.04,1025,0,1820842
8.25,7.58,868,1,1799356
9.27,8.15,1594,0,1798205
9.68,8.82,1750,0,1790457
7.98,5.04,753,1,1788748
9.21,8.86,289,0,1767051
9,7.17,2537,1,1766285
9.09,8.28,279,0,1764233
8.28,8.01,4738,1,1762742
8.74,5.72,157,0,1762070
8.98,8.77,555,0,1743774
8.29,7.61,2677,1,1737253
8.57,8.33,3285,0,1735640
9.41,8.96,202,0,1729424
9.45,6.66,1214,1,1726202
9.51,9.33,830,1,1719772
8.19,7.77,2131,1,1717566
8.85,7.62,419,0,1714071
9.28,8.23,1725,1,1713891
2.95,6.05,6244,1,1707487
9.1,7.8,1058,1,1706576
8.82,7.29,81,1,1694529
8.35,6.94,946,1,1690294
8.45,7.78,412,0,1685933
9.32,6.91,100,0,1685405
9.38,7.6,3781,1,1676040
8.65,7.67,214,0,1675798
9.63,8.68,166,1,1661230
9.63,8.28,115,0,1648070
9.59,7,2079,0,1646142
9.62,9.34,500,1,1640351
8.62,7.76,1893,1,1634403
8.69,6.82,1041,0,1634051
9.05,9.03,51,1,1626704
9.32,8.66,396,0,1623199
9.46,8.97,30,0,1621973
10,7.56,768,1,1613728
9.58,8.34,3469,0,1613392
8.73,6.79,1981,1,1612554
